3d-rotation	f101
zoom-out	f1ef
alert-circle-o	f1f0
alert-circle	f1f1
alert-octagon	f1f2
alert-polygon	f1f3
alert-triangle	f1f4
help-outline	f1f5
help	f1f6
info-outline	f1f7
info	f1f8
notifications-active	f1f9
notifications-add	f1fa
notifications-none	f1fb
notifications-off	f1fc
notifications-paused	f1fd
notifications	f1fe
account-add	f1ff
account-box-mail	f200
account-box-o	f201
account-box-phone	f202
account-box	f203
account-calendar	f204
account-circle	f205
account-o	f206
account	f207
accounts-add	f208
accounts-alt	f209
accounts-list-alt	f20a
accounts-list	f20b
accounts-outline	f20c
accounts	f20d
face	f20e
female	f20f
male-alt	f210
male-female	f211
male	f212
mood-bad	f213
mood	f214
run	f215
walk	f216
cloud-box	f217
cloud-circle	f218
cloud-done	f219
cloud-download	f21a
cloud-off	f21b
cloud-outline-alt	f21c
cloud-outline	f21d
cloud-upload	f21e
cloud	f21f
download	f220
file-plus	f221
file-text	f222
file	f223
folder-outline	f224
folder-person	f225
folder-star-alt	f226
folder-star	f227
folder	f228
gif	f229
upload	f22a
border-all	f22b
border-bottom	f22c
border-clear	f22d
border-color	f22e
border-horizontal	f22f
border-inner	f230
border-left	f231
border-outer	f232
border-right	f233
border-style	f234
border-top	f235
border-vertical	f236
copy	f237
crop	f238
format-align-center	f239
format-align-justify	f23a
format-align-left	f23b
format-align-right	f23c
format-bold	f23d
format-clear-all	f23e
format-clear	f23f
format-color-fill	f240
format-color-reset	f241
format-color-text	f242
format-indent-decrease	f243
format-indent-increase	f244
format-italic	f245
format-line-spacing	f246
format-list-bulleted	f247
format-list-numbered	f248
format-ltr	f249
format-rtl	f24a
format-size	f24b
format-strikethrough-s	f24c
format-strikethrough	f24d
format-subject	f24e
format-underlined	f24f
format-valign-bottom	f250
format-valign-center	f251
format-valign-top	f252
redo	f253
select-all	f254
space-bar	f255
text-format	f256
transform	f257
undo	f258
wrap-text	f259
comment-alert	f25a
comment-alt-text	f25b
comment-alt	f25c
comment-edit	f25d
comment-image	f25e
comment-list	f25f
comment-more	f260
comment-outline	f261
comment-text-alt	f262
comment-text	f263
comment-video	f264
comment	f265
comments	f266
check-all	f267
check-circle-u	f268
check-circle	f269
check-square	f26a
check	f26b
circle-o	f26c
circle	f26d
dot-circle-alt	f26e
dot-circle	f26f
minus-circle-outline	f270
minus-circle	f271
minus-square	f272
minus	f273
plus-circle-o-duplicate	f274
plus-circle-o	f275
plus-circle	f276
plus-square	f277
plus	f278
square-o	f279
star-circle	f27a
star-half	f27b
star-outline	f27c
star	f27d
bluetooth-connected	f27e
bluetooth-off	f27f
bluetooth-search	f280
bluetooth-setting	f281
bluetooth	f282
camera-add	f283
camera-alt	f284
camera-bw	f285
camera-front	f286
camera-mic	f287
camera-party-mode	f288
camera-rear	f289
camera-roll	f28a
camera-switch	f28b
camera	f28c
card-alert	f28d
card-off	f28e
card-sd	f28f
card-sim	f290
desktop-mac	f291
desktop-windows	f292
device-hub	f293
devices-off	f294
devices	f295
dock	f296
floppy	f297
gamepad	f298
gps-dot	f299
gps-off	f29a
gps	f29b
headset-mic	f29c
headset	f29d
input-antenna	f29e
input-composite	f29f
input-hdmi	f2a0
input-power	f2a1
input-svideo	f2a2
keyboard-hide	f2a3
keyboard	f2a4
laptop-chromebook	f2a5
laptop-mac	f2a6
laptop	f2a7
mic-off	f2a8
mic-outline	f2a9
mic-setting	f2aa
mic	f2ab
mouse	f2ac
network-alert	f2ad
network-locked	f2ae
network-off	f2af
network-outline	f2b0
network-setting	f2b1
network	f2b2
phone-bluetooth	f2b3
phone-end	f2b4
phone-forwarded	f2b5
phone-in-talk	f2b6
